Transaction_ID,Store_ID,Revenue,Units_Sold
1001,Store_A,50.0,8
1002,,120.0,4
1003,Store_C,120.0,11
1004,Store_B,120.0,1
1005,Store_A,500.0,8
1006,Store_A,50.0,4
1007,Store_A,120.0,6
1008,Store_C,250.0,8
1009,Store_B,50.0,4
1010,Store_C,50.0,3
1011,Store_A,50.0,9
1012,,50.0,3
1013,Store_C,500.0,9
1014,Store_A,250.0,2
1015,Store_A,120.0,2
1016,Store_A,500.0,2
1017,Store_A,250.0,6
1018,Store_B,50.0,3
1019,Store_B,500.0,9
1020,Store_A,120.0,4
1021,Store_B,250.0,1
1022,Store_A,500.0,4
1023,Store_A,120.0,1
1024,Store_A,50.0,5
1025,Store_B,50.0,4
1026,Store_C,120.0,8
1027,Store_A,250.0,8
1028,Store_B,500.0,7
1029,Store_B,50.0,3
1030,Store_A,120.0,1
1031,Store_B,120.0,1
1032,Store_A,50.0,11
1033,Store_A,50.0,3
1034,,120.0,6
1035,,500.0,7
1036,Store_C,120.0,6
1037,Store_A,120.0,6
1038,Store_A,250.0,6
1039,Store_B,120.0,3
1040,Store_B,,6
1041,Store_A,,8
1042,Store_B,50.0,11
1043,Store_A,120.0,11
1044,,120.0,2
1045,Store_A,50.0,5
1046,Store_B,50.0,1
1047,Store_A,120.0,1
1048,Store_B,120.0,5
1049,Store_B,50.0,3
1050,Store_A,50.0,4
1051,,500.0,3
1052,Store_C,50.0,1
1053,,50.0,1
1054,Store_C,120.0,5
1055,Store_B,,6
1056,,50.0,3
1057,Store_A,120.0,9
1058,Store_A,250.0,5
1059,Store_A,50.0,8
1060,Store_A,250.0,1
1061,Store_A,120.0,5
1062,Store_A,120.0,3
1063,Store_C,120.0,1
1064,Store_A,120.0,4
1065,Store_A,50.0,5
1066,Store_B,250.0,7
1067,Store_A,120.0,1
1068,Store_C,50.0,3
1069,Store_A,50.0,2
1070,,120.0,9
1071,Store_C,120.0,10
1072,Store_A,50.0,6
1073,Store_A,120.0,10
1074,Store_C,50.0,3
1075,Store_C,120.0,8
1076,Store_C,50.0,8
1077,Store_C,120.0,2
1078,Store_A,120.0,6
1079,Store_A,500.0,7
1080,Store_A,50.0,2
1081,Store_C,120.0,11
1082,Store_B,50.0,10
1083,Store_A,500.0,2
1084,Store_A,500.0,10
1085,Store_A,50.0,1
1086,Store_A,120.0,8
1087,Store_C,250.0,1
1088,Store_B,120.0,9
1089,Store_C,120.0,11
1090,Store_B,50.0,6
1091,Store_A,50.0,7
1092,Store_C,500.0,10
1093,Store_C,500.0,7
1094,Store_B,120.0,10
1095,Store_C,120.0,3
1096,Store_B,120.0,2
1097,Store_B,250.0,9
1098,Store_B,500.0,8
1099,Store_A,500.0,10
1100,Store_A,250.0,7
